,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,25:21,177,"1,661",507,8,30,39.6,213,15,399,213,7,16,519,2,100%,2,4,87.3%,274,19,0,21,9,64%,27/42,Wests Tigers vs Panthers,Wests Tigers,2013
1,49%,24:21,148,"1,362",409,6,19,35.9,116,17,333,168,5,18,377,0,80%,8,5,86.9%,331,30,3,20,8,71%,27/38,Wests Tigers vs Panthers,Panthers,2013
