,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,28:16,184,"1,811",556,2,29,46.5,164,3.28s,11,388,203,13,20,479,0,100%,1,2,6,87%,335,38,1,12,8,6,9,0,87%,34/39,Raiders vs Dragons,Raiders,2017
1,49%,27:09,187,"1,970",621,2,38,49.3,298,3.29s,7,388,207,11,20,567,6,75%,0,2,7,88.1%,340,29,0,17,12,9,6,4,75%,30/40,Raiders vs Dragons,Dragons,2017
