,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,26:49,146,"1,399",446,4,11,41.2,228,14,348,187,5,19,510,2,85%,1,3,88.3%,371,29,20,5,79%,27/34,Panthers vs Sharks,Panthers,2014
1,51%,27:55,176,"1,674",526,5,29,44.1,214,17,471,267,4,24,639,4,94%,1,7,91.2%,291,11,17,5,82%,31/38,Panthers vs Sharks,Sharks,2014
