,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,41%,21:36,155,"1,352",443,2,23,39.8,208,3.26s,7,347,189,6,17,411,1,73%,0,3,6,86%,338,44,11,10,7,7,1,71%,24/34,Sea Eagles vs Broncos,Sea Eagles,2019
1,59%,31:05,183,"1,842",664,6,44,44.9,280,2.98s,9,422,228,1,26,705,3,91%,1,8,7,89.3%,308,23,14,6,7,7,1,83%,34/41,Sea Eagles vs Broncos,Broncos,2019
