,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,43%,22:34,142,"1,347",469,4,20,34.6,150,8,351,184,13,18,456,0,75%,1,7,88.5%,353,31,0,15,5,64%,25/39,Broncos vs Storm,Broncos,2014
1,57%,29:54,173,"1,674",575,6,31,42.9,210,13,428,227,15,27,646,2,92%,3,7,91.2%,312,20,1,10,8,82%,32/39,Broncos vs Storm,Storm,2014
