,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,72%,36:28,200,"1,953",635,6,34,44.4,235,16,484,268,9,22,504,2,100%,1,5,5,88.4%,245,13,1,19,5,77%,34/44,Sharks vs Warriors,Sharks,2014
1,28%,14:11,130,"1,200",446,1,13,41.4,121,13,309,171,13,12,312,1,83%,0,4,3,86%,356,34,0,24,8,55%,16/29,Sharks vs Warriors,Warriors,2014
