,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,30:43,202,"1,771",634,3,32,46.6,139,3.44s,21,423,228,27,16,378,73%,7,3,88.4%,342,27,0,18,16,2,8,71%,27/38,Bulldogs vs Rabbitohs,Bulldogs,2018
1,48%,28:21,203,"1,930",604,6,27,52.2,200,3.28s,15,456,262,25,20,559,75%,7,3,84.3%,349,32,1,33,13,7,8,73%,27/37,Bulldogs vs Rabbitohs,Rabbitohs,2018
