,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,44%,22:14,147,"1,286",509,2,22,34.8,187,7,352,191,16,19,559,3,100%,2,3,90.6%,356,21,16,8,0,1,81%,30/37,Eels vs Broncos,Eels,2013
1,56%,28:18,167,"1,529",649,4,21,42.5,177,11,370,188,27,22,518,2,75%,5,4,90.9%,309,22,9,10,1,1,83%,30/36,Eels vs Broncos,Broncos,2013
