,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,27:26,168,"1,504",504,7,34,39.6,210,3.45s,13,395,210,42,21,438,2,86%,0,3,8,90.5%,257,23,0,4,8,6,0,8,87%,33/38,Storm vs Knights,Storm,2018
1,42%,19:52,128,"1,059",330,6,23,33.1,113,3.63s,5,308,180,11,11,362,0,67%,1,3,0,86.2%,325,34,1,18,10,10,1,7,78%,25/32,Storm vs Knights,Knights,2018
