,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,41%,21:14,153,"1,279",508,1,28,35.5,94,15,321,158,2,18,556,1,69%,5,2,88%,381,35,17,10,75%,27/36,Wests Tigers vs Broncos,Wests Tigers,2013
1,59%,30:34,182,"1,723",563,4,35,39.2,185,10,392,200,0,21,511,3,60%,6,4,86.4%,319,28,22,9,70%,31/44,Wests Tigers vs Broncos,Broncos,2013
