,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,41%,20:26,130,"1,159",461,3,17,35.1,100,7,333,188,6,18,501,1,60%,1,7,83.5%,330,48,17,7,0,1,82%,27/33,Storm vs Roosters,Storm,2014
1,59%,29:25,167,"1,715",533,11,48,47.7,226,11,402,225,8,15,319,0,100%,5,3,91.4%,287,17,10,9,1,1,67%,24/36,Storm vs Roosters,Roosters,2014
