,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,29:23,182,"1,586",533,4,37,44.1,180,3.6s,19,399,215,26,16,320,1,88%,3,4,87.6%,346,29,2,20,5,64%,23/36,Panthers vs Raiders,Panthers,2015
1,43%,22:10,173,"1,546",544,5,29,39.6,157,3.7s,11,376,193,17,19,544,2,38%,3,6,82.7%,320,37,1,30,4,74%,29/39,Panthers vs Raiders,Raiders,2015
