,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,29:09,186,"1,537",472,3,24,37.5,139,3.34s,13,418,232,13,18,501,4,71%,0,7,91.3%,313,24,6,10,7,0,8,73%,30/41,Storm vs Rabbitohs,Storm,2016
1,46%,24:50,156,"1,520",456,4,24,42.2,290,3.33s,6,378,210,13,21,426,3,83%,4,7,89.8%,396,24,21,4,13,1,8,81%,29/36,Storm vs Rabbitohs,Rabbitohs,2016
