,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,26:23,183,"1,637",532,3,13,40.9,156,3.59s,9,436,262,26,21,358,5,78%,1,10,85.4%,303,37,15,13,6,0,8,2,70%,28/40,Cowboys vs Dragons,Cowboys,2018
1,50%,26:23,175,"1,427",519,3,37,42,115,3.5s,11,377,197,23,21,464,1,85%,4,5,92%,343,13,17,10,8,1,8,0,71%,24/34,Cowboys vs Dragons,Dragons,2018
