,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,24:23,160,"1,467",557,2,38,40.8,155,3.23s,15,367,186,12,19,559,0,62%,7,4,83.7%,309,37,1,23,9,8,1,8,83%,30/36,Wests Tigers vs Eels,Wests Tigers,2017
1,52%,26:24,177,"1,749",580,9,37,47.3,190,3.23s,14,365,189,14,13,242,1,56%,2,5,83.6%,311,38,1,23,17,7,0,8,68%,25/37,Wests Tigers vs Eels,Eels,2017
