,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,24:42,181,"1,790",524,7,34,49.7,130,3.65s,14,398,218,31,12,341,0,67%,2,4,82.5%,235,30,2,20,4,69%,25/36,Sharks vs Wests Tigers,Sharks,2015
1,48%,22:48,128,"1,228",382,3,30,39.6,137,4.29s,9,293,153,10,13,403,1,83%,2,3,86.3%,321,34,0,17,6,58%,18/31,Sharks vs Wests Tigers,Wests Tigers,2015
