,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,30:59,186,"1,565",522,4,25,38.2,169,16,442,227,9,28,628,2,88%,4,8,92.6%,325,15,11,6,83%,34/41,Bulldogs vs Warriors,Bulldogs,2014
1,46%,26:24,157,"1,453",480,4,15,39.3,118,9,416,239,16,18,494,0,89%,5,2,88.5%,368,25,23,7,68%,25/37,Bulldogs vs Warriors,Warriors,2014
