,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,24:58,162,"1,438",395,3,28,36.9,226,3.34s,11,403,221,28,23,569,2,73%,3,6,85.2%,352,28,0,33,10,6,7,2,82%,32/39,Bulldogs vs Dragons,Bulldogs,2018
1,53%,28:09,183,"1,620",490,4,28,41.5,231,3.47s,21,424,225,18,18,492,0,62%,7,4,88.5%,339,28,1,16,11,5,8,0,77%,30/39,Bulldogs vs Dragons,Dragons,2018
