,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,60%,29:03,187,"1,630",410,11,50,39.8,186,3.74s,20,419,239,53,14,317,4,71%,1,1,8,84.7%,205,14,23,6,10,0,8,2,88%,36/41,Sea Eagles vs Eels,Sea Eagles,2018
1,40%,19:22,137,"1,081",294,0,14,37.3,112,3.46s,12,298,177,49,9,108,3,78%,0,1,7,79.9%,341,50,36,12,12,1,8,1,69%,20/29,Sea Eagles vs Eels,Eels,2018
