,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,24:11,149,"1,397",549,4,20,37.8,151,10,337,172,16,16,396,0,83%,2,6,88.9%,335,25,1,17,9,73%,27/37,Broncos vs Dragons,Broncos,2013
1,51%,25:10,164,"1,454",529,4,25,36.4,181,11,382,206,18,19,521,1,92%,5,2,90.9%,310,20,0,11,6,78%,31/40,Broncos vs Dragons,Dragons,2013
