,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,60%,30:04,190,"1,828",600,7,30,44.6,173,3.27s,20,419,231,38,18,283,2,89%,3,5,82.8%,241,27,23,9,4,1,8,80%,33/41,Broncos vs Bulldogs,Broncos,2017
1,40%,20:02,141,"1,193",406,3,27,39.8,109,2.81s,15,324,180,23,16,358,3,80%,1,4,85.1%,309,30,24,10,9,0,7,73%,22/30,Broncos vs Bulldogs,Bulldogs,2017
