,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,22:44,133,"1,238",412,3,19,34.4,122,3.54s,7,314,167,20,16,433,2,67%,3,2,86.1%,316,32,19,9,4,1,8,75%,27/36,Eels vs Rabbitohs,Eels,2018
1,54%,26:42,156,"1,525",472,8,32,41.2,198,3.26s,10,403,230,33,24,647,2,60%,5,6,91%,272,19,8,5,7,0,8,89%,33/37,Eels vs Rabbitohs,Rabbitohs,2018
