,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,23:27,175,"1,651",521,4,16,35.1,225,8,360,192,38,18,425,2,71%,3,4,92.6%,315,10,15,7,0,74%,35/47,Storm vs Wests Tigers,Storm,2013
1,51%,24:24,153,"1,266",582,0,10,36.2,132,11,353,182,19,20,578,1,85%,4,2,92.4%,327,16,11,14,1,74%,26/35,Storm vs Wests Tigers,Wests Tigers,2013
