,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,30:27,177,"1,547",543,2,30,39.7,154,3.42s,3,423,227,28,23,616,1,78%,8,3,88.2%,336,33,1,12,9,3,8,87%,34/39,Knights vs Eels,Knights,2018
1,46%,25:57,184,"1,749",552,5,33,47.3,167,3.43s,6,398,212,20,20,539,3,73%,2,3,92.2%,402,30,0,4,13,6,8,70%,26/37,Knights vs Eels,Eels,2018
