,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,31:00,192,"1,793",515,3,28,43.8,225,3.62s,11,440,244,47,22,455,2,62%,7,7,87.3%,357,34,1,18,12,9,7,2,76%,31/41,Sharks vs Dragons,Sharks,2017
1,45%,25:21,173,"1,697",566,1,34,47.2,122,3.56s,8,401,208,41,26,683,0,50%,5,4,88.2%,345,28,0,18,12,3,8,0,83%,30/36,Sharks vs Dragons,Dragons,2017
