,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,40%,21:12,135,"1,364",384,1,22,37.9,122,1,315,169,2,18,542,1,69%,3,4,88.6%,387,39,11,13,67%,24/36,Eels vs Rabbitohs,Eels,2013
1,60%,31:48,189,"1,648",504,2,39,35.1,252,6,429,233,8,21,645,2,86%,3,5,92.6%,300,22,2,6,72%,34/47,Eels vs Rabbitohs,Rabbitohs,2013
