,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,65%,37:07,212,"1,801",625,38,33.4,280,8,517,273,36,29,599,2,91%,0,4,9,92%,367,25,7,5,72%,39/54,Storm vs Sea Eagles,Storm,2013
1,35%,19:59,177,"1,511",542,25,36,242,5,410,212,31,24,794,0,85%,1,8,0,89.1%,416,38,13,10,76%,32/42,Storm vs Sea Eagles,Sea Eagles,2013
