,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,61%,33:36,172,"1,567",478,3,25,42.4,253,4,425,239,7,21,730,1,100%,1,1,3,91.1%,350,22,12,5,73%,27/37,Eels vs Bulldogs,Eels,2014
1,39%,21:28,174,"1,571",590,3,22,42.5,234,7,404,214,6,26,635,3,100%,0,3,10,91.2%,342,25,8,4,92%,34/37,Eels vs Bulldogs,Bulldogs,2014
