,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,61%,29:06,153,"1,635",489,5,25,44.2,236,4,383,216,4,16,544,1,100%,1,2,1,78%,245,33,1,36,5,0,1,76%,28/37,Eels vs Sharks,Eels,2014
1,39%,18:36,142,"1,366",476,5,33,42.7,158,22,326,168,7,11,294,0,62%,0,1,2,90.4%,310,25,0,8,2,1,0,69%,22/32,Eels vs Sharks,Sharks,2014
