,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,25:52,194,"1,630",560,3,30,41.8,115,3.72s,11,388,205,18,18,411,1,69%,5,8,88.9%,337,23,19,10,10,7,0,79%,31/39,Wests Tigers vs Titans,Wests Tigers,2019
1,51%,26:56,181,"1,533",485,1,23,42.6,147,3.57s,13,389,224,13,18,406,2,90%,5,4,89.1%,369,30,15,8,10,7,1,78%,28/36,Wests Tigers vs Titans,Titans,2019
