,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,31:19,204,"1,843",515,5,50,41,267,3.6s,6,443,244,12,25,714,4,100%,3,9,90.6%,278,16,13,9,3,7,1,80%,36/45,Broncos vs Sharks,Broncos,2019
1,42%,22:41,151,"1,226",322,2,16,36.1,72,3.7s,7,341,189,14,17,540,0,71%,6,2,86.7%,373,50,7,12,6,7,1,65%,22/34,Broncos vs Sharks,Sharks,2019
