,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,41%,21:27,150,"1,380",413,3,27,44.5,149,3.05s,9,349,203,41,14,337,0,75%,2,4,85%,351,39,23,11,10,8,71%,22/31,Sharks vs Broncos,Sharks,2017
1,59%,30:53,199,"1,722",528,4,39,44.2,130,3.34s,16,428,228,37,21,477,1,100%,2,6,87.6%,283,27,13,7,5,7,85%,33/39,Sharks vs Broncos,Broncos,2017
