,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,27:12,169,"1,408",449,5,27,37.1,114,3.36s,11,378,207,22,15,401,1,73%,3,3,89.2%,347,27,1,15,15,7,1,7,66%,25/38,Knights vs Storm,Knights,2018
1,50%,27:12,180,"1,699",525,3,27,44.7,185,3.33s,11,382,196,28,20,414,1,83%,3,9,88.9%,327,27,2,14,10,11,0,8,82%,31/38,Knights vs Storm,Storm,2018
