,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,70%,31:53,174,"1,628",608,3,32,36.2,182,11,389,210,29,15,481,3,90%,4,1,88.1%,259,18,17,7,0,64%,29/45,Cowboys vs Panthers,Cowboys,2013
1,30%,13:39,132,"1,057",476,0,18,31.1,63,11,325,175,17,14,391,0,70%,5,3,87.8%,353,32,17,10,1,68%,23/34,Cowboys vs Panthers,Panthers,2013
