,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,26:25,186,"1,896",598,9,32,43.1,246,3.5s,11,387,214,35,13,263,1,60%,4,5,86.2%,280,31,14,9,12,1,7,0,77%,34/44,Panthers vs Titans,Panthers,2018
1,47%,23:26,156,"1,179",358,2,31,32.8,59,3.46s,9,335,188,25,16,508,0,91%,1,3,85.9%,329,32,22,11,13,1,8,2,81%,29/36,Panthers vs Titans,Titans,2018
