,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,61%,28:17,176,"1,597",622,4,17,45.7,187,3.51s,14,381,190,24,18,386,1,88%,3,7,88.7%,297,26,1,12,7,0,80%,28/35,Wests Tigers vs Raiders,Wests Tigers,2015
1,39%,18:05,158,"1,436",488,6,26,39.9,140,3.58s,10,354,177,25,18,516,2,92%,2,4,90.1%,345,17,0,21,4,1,75%,27/36,Wests Tigers vs Raiders,Raiders,2015
