,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,27:11,168,"1,310",317,2,19,31.2,148,3.99s,11,407,216,15,20,507,62%,8,4,91.8%,304,24,3,11,6,0,7,1,76%,32/42,Titans vs Knights,Titans,2016
1,46%,23:10,150,"1,162",246,2,23,33.2,107,3.48s,4,354,194,10,14,362,56%,5,1,91.6%,370,19,15,10,9,1,8,0,66%,23/35,Titans vs Knights,Knights,2016
