,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,42%,22:52,181,"1,611",565,0,21,37.5,139,3.54s,8,424,224,22,23,307,2,80%,3,11,89.2%,373,27,0,18,4,1,70%,30/43,Knights vs Dragons,Knights,2015
1,58%,31:36,189,"1,647",596,3,27,35,141,3.87s,8,412,212,25,22,556,4,89%,3,12,92.2%,427,21,1,15,8,0,70%,33/47,Knights vs Dragons,Dragons,2015
