,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,24:51,165,"1,486",575,2,28,39.1,167,3.65s,5,361,196,26,20,726,2,71%,0,3,3,83.1%,329,38,1,29,9,7,8,0,76%,29/38,Roosters vs Rabbitohs,Roosters,2017
1,52%,26:56,174,"1,536",571,3,38,41.5,209,3.44s,15,363,191,45,19,636,1,80%,1,5,3,90.3%,326,28,1,7,10,8,8,2,78%,29/37,Roosters vs Rabbitohs,Rabbitohs,2017
