,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,28:51,167,"1,500",499,1,17,38.5,150,13,388,193,14,26,636,1,94%,4,8,95.1%,312,12,4,8,0,72%,28/39,Wests Tigers vs Broncos,Wests Tigers,2014
1,47%,25:35,154,"1,400",528,3,12,33.3,145,3,382,199,11,23,655,0,84%,2,2,90.4%,348,17,20,4,1,67%,28/42,Wests Tigers vs Broncos,Broncos,2014
