,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,64%,30:13,197,"1,788",594,5,39,44.7,168,3.19s,10,465,271,57,20,273,4,62%,4,8,90.1%,209,15,8,9,5,8,0,78%,31/40,Cowboys vs Titans,Cowboys,2017
1,36%,17:00,116,993,329,5,15,35.5,85,3.31s,8,271,144,27,16,439,1,73%,5,4,87.8%,368,39,12,13,10,6,3,68%,19/28,Cowboys vs Titans,Titans,2017
