,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,25:03,186,"1,548",499,1,18,37.8,158,13,450,245,3,25,734,2,92%,1,6,5,91.8%,326,11,1,18,4,78%,32/41,Sharks vs Titans,Sharks,2013
1,55%,30:38,161,"1,718",579,1,11,47.7,217,16,363,185,4,19,447,0,100%,0,8,2,91.9%,365,18,0,14,5,69%,25/36,Sharks vs Titans,Titans,2013
