,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,38%,18:03,128,"1,035",352,1,21,34.5,69,3.34s,7,292,166,30,11,254,0,33%,0,3,3,85.4%,344,30,0,29,15,5,7,2,67%,20/30,Rabbitohs vs Sea Eagles,Rabbitohs,2017
1,62%,29:27,197,"1,818",576,9,30,45.5,162,3.91s,19,400,214,35,15,459,2,43%,1,1,3,87%,215,21,3,11,11,7,7,0,78%,31/40,Rabbitohs vs Sea Eagles,Sea Eagles,2017
