,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,24:14,136,"1,293",457,3,29,40.4,138,10,331,173,21,20,492,1,77%,2,2,89.2%,337,29,12,5,1,66%,21/32,Raiders vs Dragons,Raiders,2014
1,51%,25:14,171,"1,491",535,6,29,40.3,139,8,388,207,18,21,527,0,80%,5,5,85.9%,263,29,14,2,0,84%,31/37,Raiders vs Dragons,Dragons,2014
