,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,66%,37:18,190,"1,876",617,8,33,44.7,185,12,425,219,13,24,400,0,93%,1,3,8,87.5%,280,26,1,14,8,79%,33/42,Wests Tigers vs Cowboys,Wests Tigers,2014
1,34%,19:12,153,"1,387",476,3,26,35.6,147,11,398,226,11,16,455,1,85%,0,3,2,86.1%,346,33,0,23,8,77%,30/39,Wests Tigers vs Cowboys,Cowboys,2014
