,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,43%,20:56,160,"1,554",497,6,25,39.9,163,3.58s,13,384,212,29,15,469,88%,2,3,88.5%,339,32,12,3,77%,30/39,Knights vs Cowboys,Knights,2015
1,57%,27:45,189,"1,742",671,7,32,47.1,214,3.82s,9,429,237,20,17,576,100%,4,2,87.4%,311,25,20,7,73%,27/37,Knights vs Cowboys,Cowboys,2015
