,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,26:43,174,"1,648",481,1,16,48.5,196,3.64s,20,402,223,12,22,665,2,78%,0,4,4,87.1%,343,28,2,23,7,5,8,79%,27/34,Dragons vs Bulldogs,Dragons,2016
1,51%,27:48,208,"2,120",621,8,28,51.7,235,3.58s,19,427,229,11,17,433,1,82%,1,3,5,89.7%,330,16,1,22,10,4,8,76%,31/41,Dragons vs Bulldogs,Bulldogs,2016
