,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,61%,34:00,213,"1,941",576,6,38,44.1,198,3.65s,12,474,260,7,25,599,1,67%,7,7,88.3%,293,21,18,4,5,0,8,4,93%,41/44,Eels vs Dragons,Eels,2018
1,39%,21:44,138,"1,226",397,0,21,38.3,152,3.3s,9,321,172,7,16,485,0,77%,1,2,88.5%,429,38,18,11,10,1,7,0,66%,21/32,Eels vs Dragons,Dragons,2018
