,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,22:02,149,"1,225",415,1,18,40.9,120,3.68s,10,335,183,23,19,388,0,67%,0,9,4,83.9%,333,45,19,6,9,0,7,0,73%,22/30,Titans vs Storm,Titans,2016
1,55%,26:55,179,"1,735",568,8,45,41.3,205,3.39s,10,401,213,30,21,601,1,71%,1,4,3,90.3%,279,18,12,4,7,1,8,2,93%,39/42,Titans vs Storm,Storm,2016
