,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,64%,29:44,183,"1,651",559,6,30,38.4,192,3.83s,14,445,257,40,18,337,4,88%,5,5,93.2%,232,15,2,9,6,7,0,79%,34/43,Titans vs Knights,Titans,2017
1,36%,16:44,117,984,266,2,15,35.2,75,3.37s,2,286,164,17,14,299,0,55%,2,4,86.5%,341,30,23,12,7,7,5,68%,19/28,Titans vs Knights,Knights,2017
