,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,20:59,131,"1,220",400,3,32,33,159,3.46s,7,265,133,24,13,407,62%,0,4,89.9%,266,25,0,5,11,2,8,0,73%,27/37,Broncos vs Eels,Broncos,2017
1,51%,21:50,145,"1,468",390,5,25,44.5,176,3.48s,4,339,186,14,19,551,20%,1,6,84.7%,254,32,1,14,4,10,5,5,88%,29/33,Broncos vs Eels,Eels,2017
