,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,32%,13:05,170,"1,536",590,1,16,39.4,140,13,397,204,33,21,620,2,77%,4,3,89%,340,16,26,2,69%,27/39,Sharks vs Dragons,Sharks,2013
1,68%,27:48,171,"1,823",628,3,16,48,327,16,385,179,19,20,521,1,79%,6,4,91%,354,16,19,4,76%,29/38,Sharks vs Dragons,Dragons,2013
