,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,22:35,167,"1,442",501,3,21,38,198,4,385,208,0,21,557,0,88%,7,1,93.9%,341,20,0,2,7,0,74%,28/38,Roosters vs Storm,Roosters,2013
1,48%,20:50,160,"1,542",552,3,20,37.6,200,2,356,183,4,22,626,2,80%,3,5,92.6%,325,21,2,5,6,1,78%,32/41,Roosters vs Storm,Storm,2013
