,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,27:10,181,"1,642",385,6,44,42.1,171,3.91s,17,408,231,12,17,376,1,79%,5,4,88.3%,278,24,13,4,5,8,87%,34/39,Wests Tigers vs Rabbitohs,Wests Tigers,2016
1,46%,23:08,153,"1,322",326,5,24,44.1,136,3.35s,10,347,188,13,18,432,1,85%,5,3,80.9%,300,44,27,7,9,7,77%,23/30,Wests Tigers vs Rabbitohs,Rabbitohs,2016
