,Time,Event Type,Player,Team,Player On,Player Off,Score,Match,Year
87,17:45,Penalty - Slow Peel,Dylan Brown,Eels,,,,Titans vs Eels,2019
88,14:33,Error,Moeaki Fotuaika,Titans,,,,Titans vs Eels,2019
89,13:29,Error,Waqa Blake,Eels,,,,Titans vs Eels,2019
90,13:23,Linebreak,Brad Takairangi,Eels,,,,Titans vs Eels,2019
91,12:46,Conversion-Made,Mitchell Moses,Eels,,,0-6,Titans vs Eels,2019
92,11:55,Video Referee,Try,Eels,,,,Titans vs Eels,2019
93,11:51,Try,Daniel Alvaro,Eels,,,0-4,Titans vs Eels,2019
94,11:41,Kick Bomb,Mitchell Moses,Eels,,,,Titans vs Eels,2019
95,09:29,Penalty - Hand in the Ruck,Brad Takairangi,Eels,,,,Titans vs Eels,2019
96,08:14,Error,Clinton Gutherson,Eels,,,,Titans vs Eels,2019
97,07:26,Kick Bomb,Mitchell Moses,Eels,,,,Titans vs Eels,2019
98,04:29,Error,Kane Evans,Eels,,,,Titans vs Eels,2019
99,04:21,Penalty - Slow Peel,Moeaki Fotuaika,Titans,,,,Titans vs Eels,2019
100,03:42,Penalty - Crowding,Mitch Rein,Titans,,,,Titans vs Eels,2019
101,01:37,Penalty - Offside inside 10m,Dylan Brown,Eels,,,,Titans vs Eels,2019
102,00:59,Error,Kane Evans,Eels,,,,Titans vs Eels,2019
103,00:53,Kick Bomb,Clinton Gutherson,Eels,,,,Titans vs Eels,2019
104,00:00,KICK OFF,,,,,,Titans vs Eels,2019
