,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,44%,23:10,159,"1,332",391,5,28,34.2,114,3.53s,6,346,175,4,20,612,3,60%,1,5,85.4%,315,31,1,23,9,10,0,1,8,79%,31/39,Raiders vs Panthers,Raiders,2019
1,56%,29:29,168,"1,491",446,5,31,36.4,192,3.64s,16,376,197,4,17,372,2,80%,3,5,90.1%,354,28,0,11,12,12,2,0,7,66%,27/41,Raiders vs Panthers,Panthers,2019
