,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,22:53,168,"1,646",570,4,28,41.2,225,9,410,232,18,21,499,80%,1,4,89.3%,300,24,0,12,3,0,85%,34/40,Knights vs Storm,Knights,2014
1,53%,25:48,159,"1,596",472,6,24,46.9,150,8,373,200,8,23,597,93%,4,4,89.2%,371,28,1,17,11,1,82%,28/34,Knights vs Storm,Storm,2014
