,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,26:05,167,"1,447",550,5,32,45.2,57,3.45s,11,370,214,41,16,304,0,57%,4,4,87.5%,307,31,0,13,13,6,0,6,59%,19/32,Broncos vs Storm,Broncos,2017
1,48%,24:04,191,"1,686",529,9,31,45.6,150,3.38s,12,377,201,39,16,379,1,45%,0,5,85.1%,285,32,4,18,13,4,1,8,73%,27/37,Broncos vs Storm,Storm,2017
