,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,63%,30:58,189,"1,675",486,5,25,40.9,204,3.47s,10,420,213,22,24,552,1,100%,6,6,90.2%,286,13,18,6,88%,36/41,Warriors vs Eels,Warriors,2015
1,37%,18:11,150,"1,385",443,3,13,39.6,101,3.5s,9,346,192,19,16,332,0,75%,0,4,90%,359,25,15,8,74%,26/35,Warriors vs Eels,Eels,2015
