,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,60%,29:37,166,"1,684",570,9,32,42.1,226,9,406,218,18,18,533,1,90%,1,2,88.9%,263,19,1,14,4,1,78%,31/40,Titans vs Wests Tigers,Titans,2013
1,40%,19:44,115,999,335,1,19,33.3,134,9,317,177,4,17,451,2,93%,3,5,88.2%,344,32,2,14,8,0,60%,18/30,Titans vs Wests Tigers,Wests Tigers,2013
