,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,28:36,213,"1,854",637,12,39,41.2,247,3.78s,7,480,272,29,23,627,3,80%,4,5,88.4%,244,16,16,3,93%,42/45,Rabbitohs vs Knights,Rabbitohs,2015
1,42%,20:42,117,"1,108",368,2,16,44.4,180,3.92s,9,270,141,19,16,356,0,81%,5,2,89.7%,420,39,9,7,64%,16/25,Rabbitohs vs Knights,Knights,2015
