,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,25:50,164,"1,334",505,1,14,32.5,191,3.79s,9,377,207,21,19,449,4,70%,1,8,93.9%,397,19,7,13,10,2,8,71%,29/41,Sea Eagles vs Bulldogs,Sea Eagles,2016
1,54%,30:20,202,"1,645",572,3,19,39.2,189,3.67s,5,426,223,15,20,584,0,100%,2,6,92.4%,329,14,13,5,11,0,7,83%,35/42,Sea Eagles vs Bulldogs,Bulldogs,2016
