,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,25:43,155,"1,532",628,6,22,40.3,127,3.32s,6,346,175,33,24,489,1,67%,1,6,88.1%,310,31,1,11,6,8,8,87%,33/38,Raiders vs Cowboys,Raiders,2018
1,50%,25:43,154,"1,373",562,2,31,39.3,102,3.59s,7,390,232,23,15,359,0,38%,4,4,91.2%,323,22,0,9,11,8,8,71%,25/35,Raiders vs Cowboys,Cowboys,2018
