,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,24:57,169,"1,496",535,4,47,39.4,157,16,360,187,7,15,353,1,93%,2,4,86.9%,304,18,28,11,0,82%,31/38,Roosters vs Dragons,Roosters,2013
1,49%,23:58,144,"1,281",585,1,18,37.7,132,15,329,174,7,18,463,1,100%,2,4,80.8%,303,47,25,10,1,76%,26/34,Roosters vs Dragons,Dragons,2013
